time	V(out)
4.998458288324169e-007	-6.673037e-002
5.006270788324170e-007	-5.472407e-002
5.014083288324170e-007	-4.268432e-002
5.021895788324170e-007	-3.061838e-002
5.029708288324170e-007	-1.853360e-002
5.037520788324170e-007	-6.437323e-003
5.045333288324171e-007	5.663068e-003
5.053145788324171e-007	1.776019e-002
5.060958288324171e-007	2.984666e-002
5.068770788324171e-007	4.191509e-002
5.076583288324171e-007	5.395815e-002
5.084395788324172e-007	6.596848e-002
5.092208288324172e-007	7.793879e-002
5.100020788324172e-007	8.986180e-002
5.107833288324172e-007	1.017302e-001
5.115645788324172e-007	1.135369e-001
5.123458288324173e-007	1.252746e-001
5.131270788324173e-007	1.369362e-001
5.139083288324173e-007	1.485145e-001
5.146895788324173e-007	1.600025e-001
5.154708288324173e-007	1.713930e-001
5.162520788324173e-007	1.826789e-001
5.170333288324174e-007	1.938533e-001
5.178145788324174e-007	2.049090e-001
5.185958288324174e-007	2.158389e-001
5.193770788324174e-007	2.266358e-001
5.201583288324174e-007	2.372922e-001
5.209395788324175e-007	2.478001e-001
5.217208288324175e-007	2.581504e-001
5.225020788324175e-007	2.683320e-001
5.232833288324175e-007	2.783316e-001
5.240645788324175e-007	2.881327e-001
5.248458288324176e-007	2.977166e-001
5.256270788324176e-007	3.070634e-001
5.264083288324176e-007	3.161519e-001
5.271895788324176e-007	3.249592e-001
5.279708288324176e-007	3.334603e-001
5.287520788324177e-007	3.416271e-001
5.295333288324177e-007	3.494267e-001
5.303145788324177e-007	3.568170e-001
5.310958288324177e-007	3.637316e-001
5.318770788324177e-007	3.700606e-001
5.326583288324177e-007	3.756673e-001
5.334395788324178e-007	3.804637e-001
5.342208288324178e-007	3.844700e-001
5.350020788324178e-007	3.877861e-001
5.357833288324178e-007	3.905267e-001
5.365645788324178e-007	3.927925e-001
5.373458288324179e-007	3.946683e-001
5.381270788324179e-007	3.962240e-001
5.389083288324179e-007	3.975171e-001
5.396895788324179e-007	3.985947e-001
5.404708288324179e-007	3.994952e-001
5.412520788324180e-007	4.002499e-001
5.420333288324180e-007	4.008842e-001
5.428145788324180e-007	4.014187e-001
5.435958288324180e-007	4.018703e-001
5.443770788324180e-007	4.022528e-001
5.451583288324180e-007	4.025771e-001
5.467208288324181e-007	4.030861e-001
5.482833288324181e-007	4.034512e-001
5.498458288324182e-007	4.037079e-001
5.514083288324182e-007	4.038796e-001
5.529708288324182e-007	4.039814e-001
5.545333288324183e-007	4.040228e-001
5.560958288324183e-007	4.040092e-001
5.568770788324183e-007	4.039826e-001
5.576583288324184e-007	4.039430e-001
5.584395788324184e-007	4.038903e-001
5.592208288324184e-007	4.038242e-001
5.600020788324184e-007	4.037443e-001
5.607833288324184e-007	4.036499e-001
5.615645788324184e-007	4.035403e-001
5.623458288324185e-007	4.034142e-001
5.631270788324185e-007	4.032703e-001
5.639083288324185e-007	4.031065e-001
5.646895788324185e-007	4.029202e-001
5.654708288324185e-007	4.027077e-001
5.662520788324186e-007	4.024637e-001
5.670333288324186e-007	4.021806e-001
