Freq.	V(input_impedance)
2.51188643150954e+009	(2.62984121519179e+001dB,-5.71006309195540e+001°)
2.81838293126441e+009	(2.58207135167751e+001dB,-5.59246424175341e+001°)
3.16227766016833e+009	(2.53716010260036e+001dB,-5.50450581195467e+001°)
3.54813389233570e+009	(2.49426044215339e+001dB,-5.44952317447165e+001°)
3.98107170553491e+009	(2.45242166801669e+001dB,-5.42963796224871e+001°)
4.46683592150956e+009	(2.41063828021546e+001dB,-5.44562383679684e+001°)
5.01187233627265e+009	(2.36790191758277e+001dB,-5.49685858946589e+001°)
5.62341325190341e+009	(2.32325344522409e+001dB,-5.58136261619382e+001°)
6.30957344480184e+009	(2.27583232377666e+001dB,-5.69592377467825e+001°)
7.07945784384127e+009	(2.22491983251901e+001dB,-5.83630649164461e+001°)
7.94328234724269e+009	(2.16997210153969e+001dB,-5.99753544027754e+001°)
8.91250938133732e+009	(2.11063902308319e+001dB,-6.17423166579918e+001°)
9.99999999999985e+009	(2.04676649532933e+001dB,-6.36096626074786e+001°)
1.12201845430195e+010	(1.97838198567962e+001dB,-6.55258984390908e+001°)
1.25892541179415e+010	(1.90566629827047e+001dB,-6.74449943783962e+001°)
1.41253754462273e+010	(1.82891665089367e+001dB,-6.93281748963713e+001°)
1.58489319246109e+010	(1.74850698391489e+001dB,-7.11447598678964e+001°)
1.77827941003890e+010	(1.66485076151100e+001dB,-7.28721558118703e+001°)
1.99526231496885e+010	(1.57836987588413e+001dB,-7.44952070268530e+001°)
2.23872113856830e+010	(1.48947133491784e+001dB,-7.60051541142713e+001°)
2.51188643150954e+010	(1.39853177605706e+001dB,-7.73984258227359e+001°)
2.81838293126441e+010	(1.30588878130337e+001dB,-7.86754356964910e+001°)
3.16227766016833e+010	(1.21183747847151e+001dB,-7.98394924496405e+001°)
3.54813389233570e+010	(1.11663085898359e+001dB,-8.08958784027347e+001°)
3.98107170553491e+010	(1.02048244153315e+001dB,-8.18511105155743e+001°)
4.46683592150956e+010	(9.23570213246400e+000dB,-8.27123738149281e+001°)
5.01187233627264e+010	(8.26041087630087e+000dB,-8.34871043912847e+001°)
5.62341325190340e+010	(7.28015381799839e+000dB,-8.41826948275199e+001°)
6.30957344480183e+010	(6.29591017671913e+000dB,-8.48062955685966e+001°)
7.07945784384126e+010	(5.30847295094533e+000dB,-8.53646888782292e+001°)
7.94328234724268e+010	(4.31848179536813e+000dB,-8.58642160659118e+001°)
8.91250938133730e+010	(3.32645105063308e+000dB,-8.63107426996743e+001°)
1.00000000000000e+011	(2.33279325848725e+000dB,-8.67096501041973e+001°)
