i1	1/d(V(G))
4.110010000000035e-004	9.417466e-003
4.120010000000035e-004	9.438659e-003
4.130010000000035e-004	9.459947e-003
4.140010000000035e-004	9.482671e-003
4.150010000000035e-004	9.504159e-003
4.160010000000036e-004	9.525744e-003
4.170010000000036e-004	9.547427e-003
4.180010000000036e-004	9.569209e-003
4.190010000000036e-004	9.591091e-003
4.200010000000037e-004	9.611696e-003
4.210010000000037e-004	9.633773e-003
4.220010000000037e-004	9.655952e-003
4.230010000000037e-004	9.678232e-003
4.240010000000038e-004	9.699214e-003
4.250010000000038e-004	9.720287e-003
4.260010000000038e-004	9.742866e-003
4.270010000000038e-004	9.764130e-003
4.280010000000039e-004	9.785486e-003
4.290010000000039e-004	9.806936e-003
4.300010000000039e-004	9.828480e-003
4.310010000000039e-004	9.850119e-003
4.320010000000040e-004	9.871854e-003
4.330010000000040e-004	9.893685e-003
4.340010000000040e-004	9.915612e-003
4.350010000000040e-004	9.937637e-003
4.360010000000041e-004	9.958282e-003
4.370010000000041e-004	9.979013e-003
4.380010000000041e-004	1.000132e-002
4.390010000000041e-004	1.002373e-002
4.400010000000042e-004	1.004473e-002
4.410010000000042e-004	1.006583e-002
4.420010000000042e-004	1.008852e-002
4.430010000000042e-004	1.010980e-002
4.440010000000043e-004	1.012964e-002
4.450010000000043e-004	1.015263e-002
4.460010000000043e-004	1.017418e-002
4.470010000000043e-004	1.019582e-002
4.480010000000044e-004	1.021755e-002
4.490010000000044e-004	1.023781e-002
4.500010000000044e-004	1.025973e-002
4.510010000000044e-004	1.028173e-002
4.520010000000044e-004	1.030383e-002
4.530010000000045e-004	1.032603e-002
4.540010000000045e-004	1.034673e-002
4.550010000000045e-004	1.036751e-002
4.560010000000045e-004	1.038837e-002
4.570010000000046e-004	1.041093e-002
4.580010000000046e-004	1.043359e-002
4.590010000000046e-004	1.045309e-002
4.600010000000046e-004	1.047430e-002
4.610010000000047e-004	1.049724e-002
4.620010000000047e-004	1.051863e-002
4.630010000000047e-004	1.054011e-002
4.640010000000047e-004	1.056167e-002
4.650010000000048e-004	1.058166e-002
