Freq.	V(transimpedance)
7.07945784384127e+009	(3.02932477178380e+001dB,2.16355360268184e+001°)
7.94328234724269e+009	(2.87705848244797e+001dB,1.64428408487330e+001°)
8.91250938133732e+009	(2.72190046151562e+001dB,1.11736736987265e+001°)
9.99999999999985e+009	(2.56469336571744e+001dB,5.85511016320419e+000°)
1.12201845430195e+010	(2.40638487943243e+001dB,5.11592430252972e-001°)
1.25892541179415e+010	(2.24797924714642e+001dB,-4.83407351454232e+000°)
1.41253754462273e+010	(2.09048570192210e+001dB,-1.01592334511763e+001°)
1.58489319246109e+010	(1.93486663654107e+001dB,-1.54398558241890e+001°)
1.77827941003890e+010	(1.78198829675056e+001dB,-2.06494112220024e+001°)
1.99526231496885e+010	(1.63257733354051e+001dB,-2.57585151829354e+001°)
2.23872113856830e+010	(1.48718721346310e+001dB,-3.07355000528639e+001°)
2.51188643150954e+010	(1.34617845790924e+001dB,-3.55478450448329e+001°)
2.81838293126441e+010	(1.20971539518739e+001dB,-4.01641744656298e+001°)
3.16227766016833e+010	(1.07777963512854e+001dB,-4.45564005438914e+001°)
3.54813389233570e+010	(9.50197570032979e+000dB,-4.87015807172922e+001°)
3.98107170553491e+010	(8.26676912496458e+000dB,-5.25831719006590e+001°)
4.46683592150956e+010	(7.06846361473936e+000dB,-5.61915436210108e+001°)
5.01187233627264e+010	(5.90293063501305e+000dB,-5.95237892377956e+001°)
5.62341325190340e+010	(4.76594141495381e+000dB,-6.25829977052936e+001°)
6.30957344480183e+010	(3.65340494095108e+000dB,-6.53771989955335e+001°)
7.07945784384126e+010	(2.56152735311316e+000dB,-6.79181855925841e+001°)
7.94328234724268e+010	(1.48690250302407e+000dB,-7.02203659189726e+001°)
8.91250938133730e+010	(4.26548659113596e-001dB,-7.22997482396420e+001°)
1.00000000000000e+011	(-6.22092885259354e-001dB,-7.41731023236693e+001°)
